Property;F1;Popularity
P196;0.7749677419354839;116
P1142;0.11;7251
P277;0.3910921985815603;44122
P1441;0.1843883256528418;6488
P170;0.013333333333333334;7246
P115;0.35320754716981134;4370
P541;0.9349732620320855;2101
P103;0.6;9985
P105;0.94;164
P4743;0.9;271
P1433;0.08;3225
P30;0.9;3216
P97;0.15483870967741936;3319
P4552;0.06;180
P400;0.14659910822861777;3518
P407;0.47494736842105256;4162
P127;0.12;3459
P8875;0.8654178674351586;244
P4884;0.8399999999999999;493
P371;0.11294117647058823;4450