pop,prop,class,label
66,P196,Q3863,RAG
61,P196,Q3863,RAG
99,P196,Q3863,RAG
54,P196,Q3863,RAG
270,P196,Q3863,RAG
370,P196,Q3863,RAG
54,P196,Q3863,RAG
66,P196,Q3863,RAG
65,P196,Q3863,RAG
79,P196,Q3863,RAG
53,P196,Q3863,RAG
93,P196,Q3863,RAG
63,P196,Q3863,RAG
90,P196,Q3863,RAG
131,P196,Q3863,RAG
81,P196,Q3863,RAG
73,P196,Q3863,RAG
44,P196,Q3863,RAG
83,P196,Q3863,RAG
200,P196,Q3863,RAG
105,P196,Q3863,RAG
106,P196,Q3863,RAG
222,P196,Q3863,RAG
118,P196,Q3863,RAG
71,P196,Q3863,RAG
324,P196,Q3863,RAG
48,P196,Q3863,RAG
85,P196,Q3863,RAG
60,P196,Q3863,RAG
139,P196,Q3863,RAG
115,P196,Q3863,RAG
90,P196,Q3863,RAG
135,P196,Q3863,RAG
56,P196,Q3863,RAG
210,P196,Q3863,RAG
109,P196,Q3863,RAG
88,P196,Q3863,RAG
114,P196,Q3863,RAG
55,P196,Q3863,RAG
83,P196,Q3863,RAG
58,P196,Q3863,RAG
641,P196,Q3863,RAG
52,P196,Q3863,RAG
53,P196,Q3863,RAG
79,P196,Q3863,RAG
79,P196,Q3863,RAG
73,P196,Q3863,RAG
78,P196,Q3863,RAG
88,P196,Q3863,RAG
212,P196,Q3863,RAG
227,P1142,Q9299236,RAG
18360,P1142,Q7278,RAG
124,P1142,Q48204,RAG
194,P1142,Q7278,RAG
1080,P1142,Q7278,RAG
67,P1142,Q5,RAG
150,P1142,Q7278,RAG
32917,P1142,Q5,OPT
99,P1142,Q43229,OPT
351,P1142,Q7278,RAG
2037,P1142,Q7278,RAG
695,P1142,Q7278,RAG
167,P1142,Q5,OPT
2480,P1142,Q3778417,RAG
655,P1142,Q7278,RAG
68,P1142,Q5,RAG
3804,P1142,Q7278,OPT
16150,P1142,Q17149090,RAG
437,P1142,Q6065085,RAG
158,P1142,Q7210356,RAG
163,P1142,Q6065085,RAG
3642,P1142,Q7278,OPT
3428,P1142,Q388602,OPT
218,P1142,Q5,OPT
2841,P1142,Q7278,RAG
51,P1142,Q6065085,RAG
478,P1142,Q7278,RAG
1475,P1142,Q7278,RAG
183,P1142,Q7278,RAG
16930,P1142,Q7278,RAG
36376,P1142,Q7278,RAG
212,P1142,Q7278,RAG
230,P1142,Q7278,RAG
87474,P1142,Q5,OPT
50,P1142,Q7278,RAG
1014,P1142,Q7278,RAG
465,P1142,Q7278,RAG
519,P1142,Q6065085,RAG
2622,P1142,Q7278,RAG
1232,P1142,Q7278,RAG
411,P1142,Q7278,RAG
56103,P1142,Q7278,RAG
815,P1142,Q7210356,RAG
321,P1142,Q6138528,RAG
723,P1142,Q17127659,RAG
49639,P1142,Q5,OPT
325,P1142,Q1393724,RAG
99,P1142,Q25768329,RAG
14165,P1142,Q7278,RAG
131,P1142,Q7210356,RAG
138,P277,Q341,RAG
8352,P277,Q166142,OPT
1743,P277,Q341,RAG
836,P277,Q167035,RAG
2004,P277,Q74086777,RAG
70,P277,Q7397,RAG
2709,P277,Q7397,RAG
111,P277,Q1254596,RAG
231,P277,Q7397,RAG
5138,P277,Q9135,RAG
294,P277,Q9135,RAG
255,P277,Q131093,RAG
4120,P277,Q341,RAG
927,P277,Q341,RAG
1123119,P277,Q2462003,OPT
1907,P277,Q9135,RAG
969,P277,Q341,RAG
494,P277,Q2467310,RAG
489,P277,Q341,RAG
73,P277,Q7397,RAG
245,P277,Q676202,RAG
1460,P277,Q1393965,RAG
85479,P277,Q1130645,RAG
2191,P277,Q341,RAG
49301,P277,Q506883,RAG
2276,P277,Q341,RAG
765,P277,Q341,RAG
685,P277,Q341,RAG
1957,P277,Q341,RAG
2153,P277,Q506883,RAG
860633,P277,Q431289,OPT
430,P277,Q75050,RAG
586,P277,Q1071233,RAG
740,P277,Q56273712,RAG
4634,P277,Q9143,RAG
2935,P277,Q176165,RAG
291,P277,Q341,RAG
2689,P277,Q341,RAG
8815,P277,Q9143,RAG
2456,P277,Q974828,RAG
1128,P277,Q341,RAG
3020,P277,Q341,RAG
1161,P277,Q1330336,RAG
673,P277,Q341,RAG
853,P277,Q166142,RAG
961,P277,Q341,RAG
11505,P277,Q20825628,OPT
0,P277,Q506883,RAG
2050,P277,Q341,RAG
69,P277,Q341,RAG
18260,P1441,Q15773347,OPT
2542,P1441,Q15773317,RAG
3529,P1441,Q80447738,OPT
2483,P1441,Q1114461,RAG
16534,P1441,Q3658341,OPT
17948,P1441,Q3658341,OPT
2820,P1441,Q17624054,OPT
905,P1441,Q3658341,RAG
12114,P1441,Q3658341,OPT
535,P1441,Q1274180,RAG
752,P1441,Q15632617,RAG
1248,P1441,Q1792372,RAG
7130,P1441,Q15773317,RAG
4616,P1441,Q14623646,RAG
690,P1441,Q3375722,RAG
26846,P1441,Q19324463,OPT
5438,P1441,Q15632617,OPT
1291,P1441,Q14623646,RAG
3508,P1441,Q14514600,OPT
1621,P1441,Q20643955,OPT
15862,P1441,Q1114461,OPT
15280,P1441,Q15773317,OPT
4764,P1441,Q4271324,RAG
6778,P1441,Q15773317,OPT
1381,P1441,Q21070568,RAG
3123,P1441,Q15773317,OPT
42348,P1441,Q1569167,RAG
12307,P1441,Q15773317,OPT
3101,P1441,Q15720873,OPT
13685,P1441,Q15773317,OPT
1126,P1441,Q15773317,RAG
306,P1441,Q15773317,RAG
630,P1441,Q22989102,RAG
943,P1441,Q15773317,RAG
5343,P1441,Q15773317,OPT
1463,P1441,Q15773317,RAG
117,P1441,,RAG
2044,P1441,Q15831596,RAG
1099,P1441,Q15773317,RAG
1613,P1441,Q5,OPT
2760,P1441,Q3375722,RAG
458,P1441,Q15773317,RAG
476,P1441,Q13002315,RAG
1148,P1441,Q3375722,RAG
17864,P1441,Q14514600,OPT
1071,P1441,Q21190845,RAG
421,P1441,Q15773317,RAG
34157,P1441,Q3658341,OPT
1804,P1441,Q22074477,RAG
128,P1441,Q15773317,RAG
497,P170,Q5398426,RAG
3271,P170,Q11060274,RAG
19637,P170,Q5398426,RAG
193,P170,Q1792372,RAG
1320,P170,Q5398426,RAG
3776,P170,Q5398426,RAG
4389,P170,Q581714,RAG
64574,P170,Q5398426,OPT
28539,P170,Q839864,RAG
936,P170,Q3305213,RAG
137,P170,Q5398426,RAG
5088,P170,Q641406,RAG
2133,P170,Q3305213,RAG
91,P170,Q838948,RAG
832,P170,Q5398426,RAG
64,P170,Q15416,RAG
306,P170,Q3305213,RAG
183,P170,Q179700,RAG
132,P170,Q15727816,RAG
244,P170,Q5398426,RAG
8761,P170,Q15773317,RAG
66,P170,Q3305213,RAG
2781,P170,Q3658341,RAG
8197,P170,Q3658341,RAG
31521,P170,Q15773317,OPT
83129,P170,Q5398426,RAG
128,P170,Q5398426,RAG
10538,P170,Q5398426,RAG
595,P170,Q3305213,RAG
17194,P170,Q3658341,RAG
4190,P170,Q17537576,RAG
15394,P170,Q5891,RAG
267,P170,Q3305213,RAG
77,P170,Q3305213,RAG
3727,P170,Q125191,RAG
0,P170,Q125191,RAG
352,P170,Q219423,RAG
582,P170,Q9143,RAG
836,P170,Q568683,RAG
349,P170,Q3305213,RAG
0,P170,Q1792372,RAG
214,P170,Q15711026,RAG
2372,P170,Q180516,RAG
43,P170,Q3305213,RAG
22597,P170,Q5398426,RAG
3028,P170,Q3305213,RAG
144,P170,Q860861,RAG
8288,P170,Q860861,RAG
434,P170,Q860861,RAG
168,P170,Q7725634,RAG
122,P115,Q26895936,RAG
65,P115,Q26894053,RAG
8617,P115,Q106043413,OPT
963,P115,Q26895936,RAG
278,P115,Q13393265,RAG
581,P115,Q13027888,RAG
1630,P115,Q26895936,RAG
128,P115,Q26895936,RAG
75,P115,Q26895936,RAG
1476,P115,Q26895936,RAG
498,P115,Q18558301,RAG
27532,P115,Q17374546,RAG
1197,P115,Q476028,RAG
372,P115,Q476028,RAG
649,P115,Q26895936,RAG
379,P115,Q476028,RAG
301,P115,Q476028,RAG
100,P115,Q476028,RAG
1611,P115,Q26895936,RAG
6985,P115,Q2367225,RAG
237,P115,Q18558301,RAG
33079,P115,Q13027888,RAG
161,P115,Q476028,RAG
28512,P115,Q15944511,OPT
1309,P115,Q13393265,RAG
2430,P115,Q26894053,RAG
68,P115,Q26895936,RAG
1881,P115,Q26895936,RAG
69,P115,Q1539532,RAG
102,P115,Q26895936,RAG
275,P115,Q476028,RAG
13472,P115,Q13393265,RAG
184,P115,Q26894053,RAG
74,P115,Q26895936,RAG
256,P115,Q26895936,RAG
138,P115,Q26895936,RAG
20150,P115,Q13580678,OPT
67,P115,Q1539532,RAG
1037,P115,Q476028,RAG
9473,P115,Q847017,RAG
1177,P115,Q13027888,RAG
1756,P115,Q26895936,RAG
77,P115,Q1539532,RAG
205,P115,Q476028,RAG
17618,P115,Q18558301,RAG
16529,P115,Q476028,RAG
13989,P115,Q15944511,OPT
76,P115,Q26894053,RAG
202,P115,Q26895936,RAG
356,P115,Q26895936,RAG
180,P541,Q858439,RAG
628,P541,Q28222142,RAG
171,P541,Q15261477,RAG
199,P541,Q28221947,RAG
1118,P541,Q28221987,RAG
2599,P541,Q15261477,RAG
1059,P541,Q1499496,RAG
2186,P541,Q28222111,RAG
173,P541,Q28206753,RAG
405,P541,Q24706075,RAG
1919,P541,Q28222130,RAG
1384,P541,Q15261477,RAG
167,P541,Q28222124,RAG
3153,P541,Q15261477,RAG
556,P541,Q15261477,RAG
270,P541,Q28222124,RAG
349,P541,Q28222117,RAG
186,P541,Q40231,RAG
445,P541,Q28221935,RAG
404,P541,Q15261477,RAG
763,P541,Q22162827,RAG
7159,P541,Q15261477,RAG
90,P541,Q40231,RAG
3153,P541,Q28222187,RAG
396,P541,Q28221902,RAG
1358,P541,Q28222187,RAG
118,P541,Q15261477,RAG
847,P541,Q15261477,RAG
351,P541,Q28221942,RAG
804,P541,Q15261477,RAG
506,P541,Q28221976,RAG
1098,P541,Q28221942,RAG
1087,P541,Q858439,RAG
681,P541,Q28222111,RAG
1669,P541,Q849095,RAG
1544,P541,Q27962800,RAG
3827,P541,Q15261477,RAG
837,P541,Q28222017,RAG
522,P541,Q15261477,RAG
811,P541,Q27962800,RAG
724,P541,Q28222187,RAG
145,P541,Q28206753,RAG
48005,P541,Q15261477,RAG
764,P541,Q28222165,RAG
140,P541,Q15261477,RAG
1454,P541,Q28221929,RAG
145,P541,Q15261477,RAG
1725,P541,Q112710095,RAG
3078,P541,Q28221987,RAG
3746,P541,Q22280876,RAG
226,P103,Q5,RAG
780,P103,Q5,RAG
112,P103,Q5,RAG
591,P103,,RAG
75,P103,Q5,RAG
179,P103,Q5,RAG
603,P103,Q5,RAG
3536,P103,Q5,RAG
133,P103,Q5,RAG
286875,P103,Q5,RAG
834,P103,Q5,RAG
3156,P103,Q5,RAG
130,P103,Q5,RAG
90,P103,Q5,RAG
102,P103,Q5,RAG
3066,P103,Q5,RAG
2849,P103,Q5,RAG
157,P103,Q5,RAG
264,P103,Q5,RAG
2076,P103,Q5,RAG
10626,P103,Q5,RAG
2417,P103,Q4313794,RAG
144,P103,Q5,RAG
342,P103,Q5,RAG
1759,P103,Q5,RAG
21790,P103,Q5,RAG
574,P103,Q5,RAG
46,P103,Q5,RAG
895,P103,Q5,RAG
1490,P103,Q5,RAG
419,P103,Q5,RAG
223,P103,Q5,RAG
94130,P103,Q5,RAG
102,P103,Q5,RAG
566,P103,Q5,RAG
12921,P103,Q5,RAG
46,P103,Q5,RAG
424,P103,Q5,RAG
64,P103,Q5,RAG
554,P103,Q5,RAG
309,P103,Q5,RAG
2336,P103,Q5,RAG
225,P103,Q5,RAG
183,P103,Q5,RAG
101,P103,Q5,RAG
76,P103,Q5,RAG
50,P103,Q5,RAG
27547,P103,Q5,RAG
12636,P103,Q5,RAG
434,P103,Q5,RAG
58,P105,Q16521,RAG
226,P105,Q16521,RAG
18,P105,Q16521,RAG
754,P105,Q23038290,RAG
170,P105,Q23038290,RAG
178,P105,Q16521,RAG
40,P105,Q16521,RAG
25,P105,Q23038290,RAG
20,P105,Q16521,RAG
31,P105,Q16521,RAG
173,P105,Q16521,RAG
33,P105,Q16521,RAG
19,P105,Q16521,RAG
36,P105,Q16521,RAG
48,P105,Q16521,RAG
38,P105,Q16521,RAG
44,P105,Q23038290,RAG
45,P105,Q16521,RAG
29,P105,Q16521,RAG
53,P105,Q16521,RAG
76,P105,Q16521,RAG
49,P105,Q16521,RAG
19,P105,Q16521,RAG
197,P105,Q23038290,RAG
64,P105,Q16521,RAG
943,P105,Q16521,RAG
24,P105,Q16521,RAG
23,P105,Q16521,RAG
87,P105,Q16521,RAG
355,P105,Q310890,RAG
101,P105,Q16521,RAG
98,P105,Q310890,RAG
36,P105,Q16521,RAG
61,P105,Q16521,RAG
2942,P105,Q16521,RAG
53,P105,Q16521,RAG
41,P105,Q16521,RAG
26,P105,Q16521,RAG
372,P105,Q16521,RAG
25,P105,Q16521,RAG
22,P105,Q16521,RAG
122,P105,Q23038290,RAG
43,P105,Q16521,RAG
23,P105,Q16521,RAG
48,P105,Q16521,RAG
21,P105,Q16521,RAG
28,P105,Q16521,RAG
43,P105,Q16521,RAG
163,P105,Q16521,RAG
73,P105,Q16521,RAG
527,P4743,Q726,RAG
72,P4743,Q726,RAG
154,P4743,Q726,RAG
51,P4743,Q726,RAG
215,P4743,Q726,RAG
248,P4743,Q726,RAG
69,P4743,Q726,RAG
214,P4743,Q726,RAG
212,P4743,Q726,RAG
120,P4743,Q726,RAG
58,P4743,Q726,RAG
61,P4743,Q726,RAG
99,P4743,Q726,RAG
75,P4743,Q726,RAG
107,P4743,Q726,RAG
298,P4743,Q726,RAG
156,P4743,Q726,RAG
208,P4743,Q726,RAG
143,P4743,Q726,RAG
336,P4743,Q726,RAG
130,P4743,Q726,RAG
131,P4743,Q726,RAG
197,P4743,Q726,RAG
349,P4743,Q144,RAG
157,P4743,Q726,RAG
67,P4743,Q726,RAG
1763,P4743,Q144,RAG
70,P4743,Q726,RAG
395,P4743,Q726,RAG
145,P4743,Q726,RAG
344,P4743,Q726,RAG
128,P4743,Q726,RAG
64,P4743,Q726,RAG
47,P4743,Q726,RAG
105,P4743,Q726,RAG
51,P4743,Q726,RAG
351,P4743,Q726,RAG
235,P4743,Q726,RAG
109,P4743,Q726,RAG
227,P4743,Q726,RAG
526,P4743,Q726,RAG
67,P4743,Q726,RAG
309,P4743,Q726,RAG
769,P4743,Q726,RAG
543,P4743,Q726,RAG
93,P4743,Q726,RAG
53,P4743,Q726,RAG
319,P4743,Q726,RAG
99,P4743,Q726,RAG
2286,P4743,Q726,RAG
